"Statistic Label","Year","Duration of Stay","UNIT","VALUE"
"Inbound Tourist Expenditure","2019","Overnight","Euro million","6986"
"Inbound Tourist Expenditure","2019","Same-day","Euro million","281"
"Inbound Tourist Visits","2019","Overnight","Thousand","10634"
"Inbound Tourist Visits","2019","Same-day","Thousand","1450"
"Inbound Tourist Nights","2019","Overnight","Thousand","73589"
"Inbound Tourist Nights","2019","Same-day","Thousand",""
"Domestic Tourist Expenditure","2019","Overnight","Euro million","2147"
"Domestic Tourist Expenditure","2019","Same-day","Euro million","571"
"Domestic Tourist Visits","2019","Overnight","Thousand","11621"
"Domestic Tourist Visits","2019","Same-day","Thousand","11058"
"Domestic Tourist Nights","2019","Overnight","Thousand","29469"
"Domestic Tourist Nights","2019","Same-day","Thousand",""
"Outbound Tourist Expenditure","2019","Overnight","Euro million","8253"
"Outbound Tourist Expenditure","2019","Same-day","Euro million","71"
"Outbound Tourist Visits","2019","Overnight","Thousand","9350"
"Outbound Tourist Visits","2019","Same-day","Thousand","710"
"Outbound Tourist Nights","2019","Overnight","Thousand","66927"
"Outbound Tourist Nights","2019","Same-day","Thousand",""
