"Type of Expenditure","Year","Statistic Label","UNIT","VALUE"
"All Expenditure","1976","Visitors to Ireland","Euro Million","232"
"All Expenditure","1976","Visits Abroad by Irish Residents","Euro Million","138"
"All Expenditure","1977","Visitors to Ireland","Euro Million","302"
"All Expenditure","1977","Visits Abroad by Irish Residents","Euro Million","173"
"All Expenditure","1978","Visitors to Ireland","Euro Million","358"
"All Expenditure","1978","Visits Abroad by Irish Residents","Euro Million","234"
"All Expenditure","1979","Visitors to Ireland","Euro Million","422"
"All Expenditure","1979","Visits Abroad by Irish Residents","Euro Million","320"
"All Expenditure","1980","Visitors to Ireland","Euro Million","469"
"All Expenditure","1980","Visits Abroad by Irish Residents","Euro Million","359"
"All Expenditure","1981","Visitors to Ireland","Euro Million","529"
"All Expenditure","1981","Visits Abroad by Irish Residents","Euro Million","404"
"All Expenditure","1982","Visitors to Ireland","Euro Million","604"
"All Expenditure","1982","Visits Abroad by Irish Residents","Euro Million","441"
"All Expenditure","1983","Visitors to Ireland","Euro Million","662"
"All Expenditure","1983","Visits Abroad by Irish Residents","Euro Million","461"
"All Expenditure","1984","Visitors to Ireland","Euro Million","750"
"All Expenditure","1984","Visits Abroad by Irish Residents","Euro Million","480"
"All Expenditure","1985","Visitors to Ireland","Euro Million","870"
"All Expenditure","1985","Visits Abroad by Irish Residents","Euro Million","510"
"All Expenditure","1986","Visitors to Ireland","Euro Million","824"
"All Expenditure","1986","Visits Abroad by Irish Residents","Euro Million","649"
"All Expenditure","1987","Visitors to Ireland","Euro Million","928"
"All Expenditure","1987","Visits Abroad by Irish Residents","Euro Million","706"
"All Expenditure","1988","Visitors to Ireland","Euro Million","1068"
"All Expenditure","1988","Visits Abroad by Irish Residents","Euro Million","802"
"All Expenditure","1989","Visitors to Ireland","Euro Million","1258"
"All Expenditure","1989","Visits Abroad by Irish Residents","Euro Million","886"
"All Expenditure","1990","Visitors to Ireland","Euro Million","1446"
"All Expenditure","1990","Visits Abroad by Irish Residents","Euro Million","890"
"All Expenditure","1991","Visitors to Ireland","Euro Million","1545"
"All Expenditure","1991","Visits Abroad by Irish Residents","Euro Million","888"
"All Expenditure","1992","Visitors to Ireland","Euro Million","1561"
"All Expenditure","1992","Visits Abroad by Irish Residents","Euro Million","1012"
"All Expenditure","1993","Visitors to Ireland","Euro Million","1736"
"All Expenditure","1993","Visits Abroad by Irish Residents","Euro Million","1059"
"All Expenditure","1994","Visitors to Ireland","Euro Million","1902"
"All Expenditure","1994","Visits Abroad by Irish Residents","Euro Million","1361"
"All Expenditure","1995","Visitors to Ireland","Euro Million","2132"
"All Expenditure","1995","Visits Abroad by Irish Residents","Euro Million","1609"
"All Expenditure","1996","Visitors to Ireland","Euro Million","2399"
"All Expenditure","1996","Visits Abroad by Irish Residents","Euro Million","1741"
"All Expenditure","1997","Visitors to Ireland","Euro Million","2675"
"All Expenditure","1997","Visits Abroad by Irish Residents","Euro Million","1880"
"All Expenditure","1998","Visitors to Ireland","Euro Million","2896"
"All Expenditure","1998","Visits Abroad by Irish Residents","Euro Million","2159"
"All Expenditure","1999","Visitors to Ireland","Euro Million","3115"
"All Expenditure","1999","Visits Abroad by Irish Residents","Euro Million","2465"
"All Expenditure","2000","Visitors to Ireland","Euro Million","3637"
"All Expenditure","2000","Visits Abroad by Irish Residents","Euro Million","2804"
"All Expenditure","2001","Visitors to Ireland","Euro Million","3935"
"All Expenditure","2001","Visits Abroad by Irish Residents","Euro Million","3224"
"All Expenditure","2002","Visitors to Ireland","Euro Million","3989"
"All Expenditure","2002","Visits Abroad by Irish Residents","Euro Million","3952"
"All Expenditure","2003","Visitors to Ireland","Euro Million","4057"
"All Expenditure","2003","Visits Abroad by Irish Residents","Euro Million","4158"
"All Expenditure","2004","Visitors to Ireland","Euro Million","4065"
"All Expenditure","2004","Visits Abroad by Irish Residents","Euro Million","4179"
"All Expenditure","2005","Visitors to Ireland","Euro Million","4272"
"All Expenditure","2005","Visits Abroad by Irish Residents","Euro Million","4773"
"All Expenditure","2006","Visitors to Ireland","Euro Million","4692"
"All Expenditure","2006","Visits Abroad by Irish Residents","Euro Million","5318"
"All Expenditure","2007","Visitors to Ireland","Euro Million","4902"
"All Expenditure","2007","Visits Abroad by Irish Residents","Euro Million","6163"
"All Expenditure","2008","Visitors to Ireland","Euro Million","4781"
"All Expenditure","2008","Visits Abroad by Irish Residents","Euro Million","6912"
"Air Cross-Channel","1976","Visitors to Ireland","Euro Million","39"
"Air Cross-Channel","1976","Visits Abroad by Irish Residents","Euro Million","58"
"Air Cross-Channel","1977","Visitors to Ireland","Euro Million","52"
"Air Cross-Channel","1977","Visits Abroad by Irish Residents","Euro Million","67"
"Air Cross-Channel","1978","Visitors to Ireland","Euro Million","62"
"Air Cross-Channel","1978","Visits Abroad by Irish Residents","Euro Million","88"
"Air Cross-Channel","1979","Visitors to Ireland","Euro Million","80"
"Air Cross-Channel","1979","Visits Abroad by Irish Residents","Euro Million","119"
"Air Cross-Channel","1980","Visitors to Ireland","Euro Million","84"
"Air Cross-Channel","1980","Visits Abroad by Irish Residents","Euro Million","121"
"Air Cross-Channel","1981","Visitors to Ireland","Euro Million","88"
"Air Cross-Channel","1981","Visits Abroad by Irish Residents","Euro Million","121"
"Air Cross-Channel","1982","Visitors to Ireland","Euro Million","100"
"Air Cross-Channel","1982","Visits Abroad by Irish Residents","Euro Million","132"
"Air Cross-Channel","1983","Visitors to Ireland","Euro Million","102"
"Air Cross-Channel","1983","Visits Abroad by Irish Residents","Euro Million","123"
"Air Cross-Channel","1984","Visitors to Ireland","Euro Million","105"
"Air Cross-Channel","1984","Visits Abroad by Irish Residents","Euro Million","130"
"Air Cross-Channel","1985","Visitors to Ireland","Euro Million","131"
"Air Cross-Channel","1985","Visits Abroad by Irish Residents","Euro Million","179"
"Air Cross-Channel","1986","Visitors to Ireland","Euro Million","143"
"Air Cross-Channel","1986","Visits Abroad by Irish Residents","Euro Million","221"
"Air Cross-Channel","1987","Visitors to Ireland","Euro Million","203"
"Air Cross-Channel","1987","Visits Abroad by Irish Residents","Euro Million","278"
"Air Cross-Channel","1988","Visitors to Ireland","Euro Million","273"
"Air Cross-Channel","1988","Visits Abroad by Irish Residents","Euro Million","368"
"Air Cross-Channel","1989","Visitors to Ireland","Euro Million","345"
"Air Cross-Channel","1989","Visits Abroad by Irish Residents","Euro Million","420"
"Air Cross-Channel","1990","Visitors to Ireland","Euro Million","394"
"Air Cross-Channel","1990","Visits Abroad by Irish Residents","Euro Million","455"
"Air Cross-Channel","1991","Visitors to Ireland","Euro Million","382"
"Air Cross-Channel","1991","Visits Abroad by Irish Residents","Euro Million","428"
"Air Cross-Channel","1992","Visitors to Ireland","Euro Million","399"
