"Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"Holiday/leisure/recreation","1976","Expenditure by Vistors to Ireland","Euro Million","69"
"Holiday/leisure/recreation","1976","Visitors to Ireland","Thousand","553"
"Holiday/leisure/recreation","1976","Average Length of Stay by Visitors to Ireland","Nights",""
"Holiday/leisure/recreation","1976","Expenditure by Irish Residents Abroad","Euro Million","81"
"Holiday/leisure/recreation","1976","Visits Abroad by Irish Residents","Thousand","428"
"Holiday/leisure/recreation","1976","Average Length of Stay Abroad by Irish Residents","Nights",""
"Holiday/leisure/recreation","1977","Expenditure by Vistors to Ireland","Euro Million","98"
"Holiday/leisure/recreation","1977","Visitors to Ireland","Thousand","665"
"Holiday/leisure/recreation","1977","Average Length of Stay by Visitors to Ireland","Nights",""
"Holiday/leisure/recreation","1977","Expenditure by Irish Residents Abroad","Euro Million","94"
"Holiday/leisure/recreation","1977","Visits Abroad by Irish Residents","Thousand","420"
"Holiday/leisure/recreation","1977","Average Length of Stay Abroad by Irish Residents","Nights",""
"Holiday/leisure/recreation","1978","Expenditure by Vistors to Ireland","Euro Million","132"
"Holiday/leisure/recreation","1978","Visitors to Ireland","Thousand","838"
"Holiday/leisure/recreation","1978","Average Length of Stay by Visitors to Ireland","Nights",""
"Holiday/leisure/recreation","1978","Expenditure by Irish Residents Abroad","Euro Million","136"
"Holiday/leisure/recreation","1978","Visits Abroad by Irish Residents","Thousand","540"
"Holiday/leisure/recreation","1978","Average Length of Stay Abroad by Irish Residents","Nights",""
"Holiday/leisure/recreation","1979","Expenditure by Vistors to Ireland","Euro Million","140"
"Holiday/leisure/recreation","1979","Visitors to Ireland","Thousand","790"
"Holiday/leisure/recreation","1979","Average Length of Stay by Visitors to Ireland","Nights",""
"Holiday/leisure/recreation","1979","Expenditure by Irish Residents Abroad","Euro Million","185"
"Holiday/leisure/recreation","1979","Visits Abroad by Irish Residents","Thousand","588"
"Holiday/leisure/recreation","1979","Average Length of Stay Abroad by Irish Residents","Nights",""
"Holiday/leisure/recreation","1980","Expenditure by Vistors to Ireland","Euro Million","142"
"Holiday/leisure/recreation","1980","Visitors to Ireland","Thousand","703"
"Holiday/leisure/recreation","1980","Average Length of Stay by Visitors to Ireland","Nights",""
"Holiday/leisure/recreation","1980","Expenditure by Irish Residents Abroad","Euro Million","223"
"Holiday/leisure/recreation","1980","Visits Abroad by Irish Residents","Thousand","583"
"Holiday/leisure/recreation","1980","Average Length of Stay Abroad by Irish Residents","Nights",""
"Holiday/leisure/recreation","1981","Expenditure by Vistors to Ireland","Euro Million","147"
"Holiday/leisure/recreation","1981","Visitors to Ireland","Thousand","650"
"Holiday/leisure/recreation","1981","Average Length of Stay by Visitors to Ireland","Nights",""
"Holiday/leisure/recreation","1981","Expenditure by Irish Residents Abroad","Euro Million","273"
"Holiday/leisure/recreation","1981","Visits Abroad by Irish Residents","Thousand","584"
"Holiday/leisure/recreation","1981","Average Length of Stay Abroad by Irish Residents","Nights",""
"Holiday/leisure/recreation","1982","Expenditure by Vistors to Ireland","Euro Million","178"
"Holiday/leisure/recreation","1982","Visitors to Ireland","Thousand","691"
"Holiday/leisure/recreation","1982","Average Length of Stay by Visitors to Ireland","Nights",""
"Holiday/leisure/recreation","1982","Expenditure by Irish Residents Abroad","Euro Million","296"
"Holiday/leisure/recreation","1982","Visits Abroad by Irish Residents","Thousand","604"
"Holiday/leisure/recreation","1982","Average Length of Stay Abroad by Irish Residents","Nights",""
"Holiday/leisure/recreation","1983","Expenditure by Vistors to Ireland","Euro Million","208"
"Holiday/leisure/recreation","1983","Visitors to Ireland","Thousand","720"
"Holiday/leisure/recreation","1983","Average Length of Stay by Visitors to Ireland","Nights","11.3"
"Holiday/leisure/recreation","1983","Expenditure by Irish Residents Abroad","Euro Million","316"
"Holiday/leisure/recreation","1983","Visits Abroad by Irish Residents","Thousand","595"
"Holiday/leisure/recreation","1983","Average Length of Stay Abroad by Irish Residents","Nights","11.5"
"Holiday/leisure/recreation","1984","Expenditure by Vistors to Ireland","Euro Million","246"
"Holiday/leisure/recreation","1984","Visitors to Ireland","Thousand","704"
"Holiday/leisure/recreation","1984","Average Length of Stay by Visitors to Ireland","Nights","11.3"
"Holiday/leisure/recreation","1984","Expenditure by Irish Residents Abroad","Euro Million","311"
"Holiday/leisure/recreation","1984","Visits Abroad by Irish Residents","Thousand","571"
"Holiday/leisure/recreation","1984","Average Length of Stay Abroad by Irish Residents","Nights","12"
"Holiday/leisure/recreation","1985","Expenditure by Vistors to Ireland","Euro Million","302"
"Holiday/leisure/recreation","1985","Visitors to Ireland","Thousand","792"
"Holiday/leisure/recreation","1985","Average Length of Stay by Visitors to Ireland","Nights","11.3"
"Holiday/leisure/recreation","1985","Expenditure by Irish Residents Abroad","Euro Million","310"
"Holiday/leisure/recreation","1985","Visits Abroad by Irish Residents","Thousand","560"
"Holiday/leisure/recreation","1985","Average Length of Stay Abroad by Irish Residents","Nights","10.9"
"Holiday/leisure/recreation","1986","Expenditure by Vistors to Ireland","Euro Million","232"
"Holiday/leisure/recreation","1986","Visitors to Ireland","Thousand","641"
"Holiday/leisure/recreation","1986","Average Length of Stay by Visitors to Ireland","Nights","10.9"
"Holiday/leisure/recreation","1986","Expenditure by Irish Residents Abroad","Euro Million","343"
"Holiday/leisure/recreation","1986","Visits Abroad by Irish Residents","Thousand","575"
"Holiday/leisure/recreation","1986","Average Length of Stay Abroad by Irish Residents","Nights","12"
"Holiday/leisure/recreation","1987","Expenditure by Vistors to Ireland","Euro Million","249"
"Holiday/leisure/recreation","1987","Visitors to Ireland","Thousand","710"
"Holiday/leisure/recreation","1987","Average Length of Stay by Visitors to Ireland","Nights","10.4"
"Holiday/leisure/recreation","1987","Expenditure by Irish Residents Abroad","Euro Million","329"
"Holiday/leisure/recreation","1987","Visits Abroad by Irish Residents","Thousand","573"
"Holiday/leisure/recreation","1987","Average Length of Stay Abroad by Irish Residents","Nights","10.7"
"Holiday/leisure/recreation","1988","Expenditure by Vistors to Ireland","Euro Million","298"
"Holiday/leisure/recreation","1988","Visitors to Ireland","Thousand","810"
"Holiday/leisure/recreation","1988","Average Length of Stay by Visitors to Ireland","Nights","10.4"
"Holiday/leisure/recreation","1988","Expenditure by Irish Residents Abroad","Euro Million","408"
"Holiday/leisure/recreation","1988","Visits Abroad by Irish Residents","Thousand","668"
"Holiday/leisure/recreation","1988","Average Length of Stay Abroad by Irish Residents","Nights","10.2"
"Holiday/leisure/recreation","1989","Expenditure by Vistors to Ireland","Euro Million","371"
"Holiday/leisure/recreation","1989","Visitors to Ireland","Thousand","1061"
"Holiday/leisure/recreation","1989","Average Length of Stay by Visitors to Ireland","Nights","10.9"
"Holiday/leisure/recreation","1989","Expenditure by Irish Residents Abroad","Euro Million","443"
"Holiday/leisure/recreation","1989","Visits Abroad by Irish Residents","Thousand","676"
"Holiday/leisure/recreation","1989","Average Length of Stay Abroad by Irish Residents","Nights","10.5"
"Holiday/leisure/recreation","1990","Expenditure by Vistors to Ireland","Euro Million","490"
"Holiday/leisure/recreation","1990","Visitors to Ireland","Thousand","1327"
"Holiday/leisure/recreation","1990","Average Length of Stay by Visitors to Ireland","Nights","10.8"
"Holiday/leisure/recreation","1990","Expenditure by Irish Residents Abroad","Euro Million","430"
"Holiday/leisure/recreation","1990","Visits Abroad by Irish Residents","Thousand","658"
"Holiday/leisure/recreation","1990","Average Length of Stay Abroad by Irish Residents","Nights","11.3"
"Holiday/leisure/recreation","1991","Expenditure by Vistors to Ireland","Euro Million","578"
"Holiday/leisure/recreation","1991","Visitors to Ireland","Thousand","1466"
"Holiday/leisure/recreation","1991","Average Length of Stay by Visitors to Ireland","Nights","11.4"
"Holiday/leisure/recreation","1991","Expenditure by Irish Residents Abroad","Euro Million","449"
"Holiday/leisure/recreation","1991","Visits Abroad by Irish Residents","Thousand","695"
"Holiday/leisure/recreation","1991","Average Length of Stay Abroad by Irish Residents","Nights","10.3"
"Holiday/leisure/recreation","1992","Expenditure by Vistors to Ireland","Euro Million","596"
"Holiday/leisure/recreation","1992","Visitors to Ireland","Thousand","1561"
"Holiday/leisure/recreation","1992","Average Length of Stay by Visitors to Ireland","Nights","10.8"
"Holiday/leisure/recreation","1992","Expenditure by Irish Residents Abroad","Euro Million","554"
"Holiday/leisure/recreation","1992","Visits Abroad by Irish Residents","Thousand","827"
"Holiday/leisure/recreation","1992","Average Length of Stay Abroad by Irish Residents","Nights","10.2"
"Holiday/leisure/recreation","1993","Expenditure by Vistors to Ireland","Euro Million","701"
"Holiday/leisure/recreation","1993","Visitors to Ireland","Thousand","1622"
"Holiday/leisure/recreation","1993","Average Length of Stay by Visitors to Ireland","Nights","10.1"
"Holiday/leisure/recreation","1993","Expenditure by Irish Residents Abroad","Euro Million","543"
"Holiday/leisure/recreation","1993","Visits Abroad by Irish Residents","Thousand","857"
"Holiday/leisure/recreation","1993","Average Length of Stay Abroad by Irish Residents","Nights","9.5"
"Holiday/leisure/recreation","1994","Expenditure by Vistors to Ireland","Euro Million","697"
"Holiday/leisure/recreation","1994","Visitors to Ireland","Thousand","1807"
"Holiday/leisure/recreation","1994","Average Length of Stay by Visitors to Ireland","Nights","9"
"Holiday/leisure/recreation","1994","Expenditure by Irish Residents Abroad","Euro Million","672"
"Holiday/leisure/recreation","1994","Visits Abroad by Irish Residents","Thousand","1006"
"Holiday/leisure/recreation","1994","Average Length of Stay Abroad by Irish Residents","Nights","10.3"
"Holiday/leisure/recreation","1995","Expenditure by Vistors to Ireland","Euro Million","871"
"Holiday/leisure/recreation","1995","Visitors to Ireland","Thousand","2314"
"Holiday/leisure/recreation","1995","Average Length of Stay by Visitors to Ireland","Nights","8.5"
"Holiday/leisure/recreation","1995","Expenditure by Irish Residents Abroad","Euro Million","832"
"Holiday/leisure/recreation","1995","Visits Abroad by Irish Residents","Thousand","1176"
"Holiday/leisure/recreation","1995","Average Length of Stay Abroad by Irish Residents","Nights","10"
"Holiday/leisure/recreation","1996","Expenditure by Vistors to Ireland","Euro Million","959"
"Holiday/leisure/recreation","1996","Visitors to Ireland","Thousand","2466"
"Holiday/leisure/recreation","1996","Average Length of Stay by Visitors to Ireland","Nights","9"
"Holiday/leisure/recreation","1996","Expenditure by Irish Residents Abroad","Euro Million","863"
"Holiday/leisure/recreation","1996","Visits Abroad by Irish Residents","Thousand","1182"
"Holiday/leisure/recreation","1996","Average Length of Stay Abroad by Irish Residents","Nights","9.9"
"Holiday/leisure/recreation","1997","Expenditure by Vistors to Ireland","Euro Million","1064"
"Holiday/leisure/recreation","1997","Visitors to Ireland","Thousand","2767"
"Holiday/leisure/recreation","1997","Average Length of Stay by Visitors to Ireland","Nights","8.5"
"Holiday/leisure/recreation","1997","Expenditure by Irish Residents Abroad","Euro Million","955"
"Holiday/leisure/recreation","1997","Visits Abroad by Irish Residents","Thousand","1299"
"Holiday/leisure/recreation","1997","Average Length of Stay Abroad by Irish Residents","Nights","9.2"
