"Area of Residence","Year","Statistic Label","UNIT","VALUE"
"Great Britain","1983","Expenditure by Visitors to Ireland","Euro Million","179"
"Great Britain","1983","Visitors to Ireland","Thousand","1129"
"Great Britain","1983","Average Length of Stay in Nights by Visitors to Ireland","Nights","8.4"
"Great Britain","1984","Expenditure by Visitors to Ireland","Euro Million","194"
"Great Britain","1984","Visitors to Ireland","Thousand","1188"
"Great Britain","1984","Average Length of Stay in Nights by Visitors to Ireland","Nights","8.6"
"Great Britain","1985","Expenditure by Visitors to Ireland","Euro Million","206"
"Great Britain","1985","Visitors to Ireland","Thousand","1104"
"Great Britain","1985","Average Length of Stay in Nights by Visitors to Ireland","Nights","8.7"
"Great Britain","1986","Expenditure by Visitors to Ireland","Euro Million","216"
"Great Britain","1986","Visitors to Ireland","Thousand","1084"
"Great Britain","1986","Average Length of Stay in Nights by Visitors to Ireland","Nights","8.4"
"Great Britain","1987","Expenditure by Visitors to Ireland","Euro Million","253"
"Great Britain","1987","Visitors to Ireland","Thousand","1209"
"Great Britain","1987","Average Length of Stay in Nights by Visitors to Ireland","Nights","8"
"Great Britain","1988","Expenditure by Visitors to Ireland","Euro Million","317"
"Great Britain","1988","Visitors to Ireland","Thousand","1465"
"Great Britain","1988","Average Length of Stay in Nights by Visitors to Ireland","Nights","7.5"
"Great Britain","1989","Expenditure by Visitors to Ireland","Euro Million","362"
"Great Britain","1989","Visitors to Ireland","Thousand","1668"
"Great Britain","1989","Average Length of Stay in Nights by Visitors to Ireland","Nights","7.6"
"Great Britain","1990","Expenditure by Visitors to Ireland","Euro Million","408"
"Great Britain","1990","Visitors to Ireland","Thousand","1786"
"Great Britain","1990","Average Length of Stay in Nights by Visitors to Ireland","Nights","7.6"
"Great Britain","1991","Expenditure by Visitors to Ireland","Euro Million","422"
"Great Britain","1991","Visitors to Ireland","Thousand","1729"
"Great Britain","1991","Average Length of Stay in Nights by Visitors to Ireland","Nights","7.9"
"Great Britain","1992","Expenditure by Visitors to Ireland","Euro Million","409"
"Great Britain","1992","Visitors to Ireland","Thousand","1758"
"Great Britain","1992","Average Length of Stay in Nights by Visitors to Ireland","Nights","7.7"
"Great Britain","1993","Expenditure by Visitors to Ireland","Euro Million","452"
"Great Britain","1993","Visitors to Ireland","Thousand","1887"
"Great Britain","1993","Average Length of Stay in Nights by Visitors to Ireland","Nights","7.1"
"Great Britain","1994","Expenditure by Visitors to Ireland","Euro Million","540"
"Great Britain","1994","Visitors to Ireland","Thousand","2087"
"Great Britain","1994","Average Length of Stay in Nights by Visitors to Ireland","Nights","7"
"Great Britain","1995","Expenditure by Visitors to Ireland","Euro Million","608"
"Great Britain","1995","Visitors to Ireland","Thousand","2365"
"Great Britain","1995","Average Length of Stay in Nights by Visitors to Ireland","Nights","6.6"
"Great Britain","1996","Expenditure by Visitors to Ireland","Euro Million","701"
"Great Britain","1996","Visitors to Ireland","Thousand","2698"
"Great Britain","1996","Average Length of Stay in Nights by Visitors to Ireland","Nights","6.9"
"Great Britain","1997","Expenditure by Visitors to Ireland","Euro Million","847"
"Great Britain","1997","Visitors to Ireland","Thousand","3025"
"Great Britain","1997","Average Length of Stay in Nights by Visitors to Ireland","Nights","6.8"
"Great Britain","1998","Expenditure by Visitors to Ireland","Euro Million","938"
"Great Britain","1998","Visitors to Ireland","Thousand","3383"
"Great Britain","1998","Average Length of Stay in Nights by Visitors to Ireland","Nights","6.3"
"Great Britain","1999","Expenditure by Visitors to Ireland","Euro Million","968"
"Great Britain","1999","Visitors to Ireland","Thousand","3558"
"Great Britain","1999","Average Length of Stay in Nights by Visitors to Ireland","Nights","5.8"
"Great Britain","2000","Expenditure by Visitors to Ireland","Euro Million","1042"
"Great Britain","2000","Visitors to Ireland","Thousand","3559"
"Great Britain","2000","Average Length of Stay in Nights by Visitors to Ireland","Nights","5.7"
"Great Britain","2001","Expenditure by Visitors to Ireland","Euro Million","1163"
"Great Britain","2001","Visitors to Ireland","Thousand","3462"
"Great Britain","2001","Average Length of Stay in Nights by Visitors to Ireland","Nights","5.6"
"Great Britain","2002","Expenditure by Visitors to Ireland","Euro Million","1251"
"Great Britain","2002","Visitors to Ireland","Thousand","3579"
"Great Britain","2002","Average Length of Stay in Nights by Visitors to Ireland","Nights","5.3"
"Great Britain","2003","Expenditure by Visitors to Ireland","Euro Million","1295"
"Great Britain","2003","Visitors to Ireland","Thousand","3719"
"Great Britain","2003","Average Length of Stay in Nights by Visitors to Ireland","Nights","5.2"
