"Route of Travel","Year","Statistic Label","UNIT","VALUE"
"All routes of travel","2009","Overseas Trips to Ireland by Non-Residents","Thousand","6907"
"All routes of travel","2009","Overseas Trips by Irish Residents","Thousand","7021"
"All routes of travel","2009","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.1"
"All routes of travel","2010","Overseas Trips to Ireland by Non-Residents","Thousand","6139"
"All routes of travel","2010","Overseas Trips by Irish Residents","Thousand","6660"
"All routes of travel","2010","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.5"
"All routes of travel","2011","Overseas Trips to Ireland by Non-Residents","Thousand","6505"
"All routes of travel","2011","Overseas Trips by Irish Residents","Thousand","6293"
"All routes of travel","2011","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.4"
"All routes of travel","2012","Overseas Trips to Ireland by Non-Residents","Thousand","6517"
"All routes of travel","2012","Overseas Trips by Irish Residents","Thousand","6326"
"All routes of travel","2012","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.3"
"All routes of travel","2013","Overseas Trips to Ireland by Non-Residents","Thousand","6986"
"All routes of travel","2013","Overseas Trips by Irish Residents","Thousand","6323"
"All routes of travel","2013","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.1"
"All routes of travel","2014","Overseas Trips to Ireland by Non-Residents","Thousand","7604"
"All routes of travel","2014","Overseas Trips by Irish Residents","Thousand","6514"
"All routes of travel","2014","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.1"
"All routes of travel","2015","Overseas Trips to Ireland by Non-Residents","Thousand","8643"
"All routes of travel","2015","Overseas Trips by Irish Residents","Thousand","6965"
"All routes of travel","2015","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.6"
"All routes of travel","2016","Overseas Trips to Ireland by Non-Residents","Thousand","9584"
"All routes of travel","2016","Overseas Trips by Irish Residents","Thousand","7405"
"All routes of travel","2016","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.6"
"All routes of travel","2017","Overseas Trips to Ireland by Non-Residents","Thousand","9932"
"All routes of travel","2017","Overseas Trips by Irish Residents","Thousand","7939"
"All routes of travel","2017","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.2"
"All routes of travel","2018","Overseas Trips to Ireland by Non-Residents","Thousand","10616"
"All routes of travel","2018","Overseas Trips by Irish Residents","Thousand","8276"
"All routes of travel","2018","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.2"
"All routes of travel","2019","Overseas Trips to Ireland by Non-Residents","Thousand","10808"
"All routes of travel","2019","Overseas Trips by Irish Residents","Thousand","8814"
"All routes of travel","2019","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.4"
"Cross channel","2009","Overseas Trips to Ireland by Non-Residents","Thousand","3781"
"Cross channel","2009","Overseas Trips by Irish Residents","Thousand","2824"
"Cross channel","2009","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.7"
"Cross channel","2010","Overseas Trips to Ireland by Non-Residents","Thousand","3404"
"Cross channel","2010","Overseas Trips by Irish Residents","Thousand","2893"
