"Travel Mode","Year","Statistic Label","UNIT","VALUE"
"All modes of travel","2009","Overseas Trips to Ireland by Non-Residents","Thousand","6907"
"All modes of travel","2009","Overseas Trips by Irish Residents","Thousand","7021"
"All modes of travel","2010","Overseas Trips to Ireland by Non-Residents","Thousand","6139"
"All modes of travel","2010","Overseas Trips by Irish Residents","Thousand","6660"
"All modes of travel","2011","Overseas Trips to Ireland by Non-Residents","Thousand","6505"
"All modes of travel","2011","Overseas Trips by Irish Residents","Thousand","6293"
"All modes of travel","2012","Overseas Trips to Ireland by Non-Residents","Thousand","6517"
"All modes of travel","2012","Overseas Trips by Irish Residents","Thousand","6326"
"All modes of travel","2013","Overseas Trips to Ireland by Non-Residents","Thousand","6986"
"All modes of travel","2013","Overseas Trips by Irish Residents","Thousand","6323"
"All modes of travel","2014","Overseas Trips to Ireland by Non-Residents","Thousand","7604"
"All modes of travel","2014","Overseas Trips by Irish Residents","Thousand","6514"
"All modes of travel","2015","Overseas Trips to Ireland by Non-Residents","Thousand","8643"
"All modes of travel","2015","Overseas Trips by Irish Residents","Thousand","6965"
"All modes of travel","2016","Overseas Trips to Ireland by Non-Residents","Thousand","9584"
"All modes of travel","2016","Overseas Trips by Irish Residents","Thousand","7405"
"All modes of travel","2017","Overseas Trips to Ireland by Non-Residents","Thousand","9932"
"All modes of travel","2017","Overseas Trips by Irish Residents","Thousand","7939"
"All modes of travel","2018","Overseas Trips to Ireland by Non-Residents","Thousand","10616"
"All modes of travel","2018","Overseas Trips by Irish Residents","Thousand","8276"
"All modes of travel","2019","Overseas Trips to Ireland by Non-Residents","Thousand","10808"
"All modes of travel","2019","Overseas Trips by Irish Residents","Thousand","8814"
"Air","2009","Overseas Trips to Ireland by Non-Residents","Thousand","6078"
"Air","2009","Overseas Trips by Irish Residents","Thousand","6519"
"Air","2010","Overseas Trips to Ireland by Non-Residents","Thousand","5232"
"Air","2010","Overseas Trips by Irish Residents","Thousand","6110"
"Air","2011","Overseas Trips to Ireland by Non-Residents","Thousand","5675"
"Air","2011","Overseas Trips by Irish Residents","Thousand","5779"
"Air","2012","Overseas Trips to Ireland by Non-Residents","Thousand","5746"
"Air","2012","Overseas Trips by Irish Residents","Thousand","5839"
"Air","2013","Overseas Trips to Ireland by Non-Residents","Thousand","6149"
"Air","2013","Overseas Trips by Irish Residents","Thousand","5874"
"Air","2014","Overseas Trips to Ireland by Non-Residents","Thousand","6745"
"Air","2014","Overseas Trips by Irish Residents","Thousand","6059"
"Air","2015","Overseas Trips to Ireland by Non-Residents","Thousand","7782"
"Air","2015","Overseas Trips by Irish Residents","Thousand","6561"
"Air","2016","Overseas Trips to Ireland by Non-Residents","Thousand","8740"
"Air","2016","Overseas Trips by Irish Residents","Thousand","7023"
"Air","2017","Overseas Trips to Ireland by Non-Residents","Thousand","9095"
"Air","2017","Overseas Trips by Irish Residents","Thousand","7536"
"Air","2018","Overseas Trips to Ireland by Non-Residents","Thousand","9777"
"Air","2018","Overseas Trips by Irish Residents","Thousand","7913"
"Air","2019","Overseas Trips to Ireland by Non-Residents","Thousand","10006"
"Air","2019","Overseas Trips by Irish Residents","Thousand","8500"
"Sea","2009","Overseas Trips to Ireland by Non-Residents","Thousand","830"
"Sea","2009","Overseas Trips by Irish Residents","Thousand","502"
"Sea","2010","Overseas Trips to Ireland by Non-Residents","Thousand","907"
"Sea","2010","Overseas Trips by Irish Residents","Thousand","549"
"Sea","2011","Overseas Trips to Ireland by Non-Residents","Thousand","830"
"Sea","2011","Overseas Trips by Irish Residents","Thousand","514"
"Sea","2012","Overseas Trips to Ireland by Non-Residents","Thousand","771"
"Sea","2012","Overseas Trips by Irish Residents","Thousand","487"
"Sea","2013","Overseas Trips to Ireland by Non-Residents","Thousand","837"
"Sea","2013","Overseas Trips by Irish Residents","Thousand","449"
"Sea","2014","Overseas Trips to Ireland by Non-Residents","Thousand","860"
"Sea","2014","Overseas Trips by Irish Residents","Thousand","456"
"Sea","2015","Overseas Trips to Ireland by Non-Residents","Thousand","861"
"Sea","2015","Overseas Trips by Irish Residents","Thousand","404"
"Sea","2016","Overseas Trips to Ireland by Non-Residents","Thousand","844"
"Sea","2016","Overseas Trips by Irish Residents","Thousand","382"
"Sea","2017","Overseas Trips to Ireland by Non-Residents","Thousand","837"
"Sea","2017","Overseas Trips by Irish Residents","Thousand","403"
"Sea","2018","Overseas Trips to Ireland by Non-Residents","Thousand","840"
"Sea","2018","Overseas Trips by Irish Residents","Thousand","364"
"Sea","2019","Overseas Trips to Ireland by Non-Residents","Thousand","802"
"Sea","2019","Overseas Trips by Irish Residents","Thousand","315"
