"Type of Trip","Year","Statistic Label","UNIT","VALUE"
"All trip types","2009","Overseas Trips to Ireland by Non-Residents","Thousand","6907"
"All trip types","2009","Overseas Trips by Irish Residents","Thousand","7021"
"All trip types","2009","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3410"
"All trip types","2010","Overseas Trips to Ireland by Non-Residents","Thousand","6139"
"All trip types","2010","Overseas Trips by Irish Residents","Thousand","6660"
"All trip types","2010","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2976"
"All trip types","2011","Overseas Trips to Ireland by Non-Residents","Thousand","6505"
"All trip types","2011","Overseas Trips by Irish Residents","Thousand","6293"
"All trip types","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2899"
"All trip types","2012","Overseas Trips to Ireland by Non-Residents","Thousand","6517"
"All trip types","2012","Overseas Trips by Irish Residents","Thousand","6326"
"All trip types","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2916"
"All trip types","2013","Overseas Trips to Ireland by Non-Residents","Thousand","6986"
"All trip types","2013","Overseas Trips by Irish Residents","Thousand","6323"
"All trip types","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3262"
"All trip types","2014","Overseas Trips to Ireland by Non-Residents","Thousand","7604"
"All trip types","2014","Overseas Trips by Irish Residents","Thousand","6514"
"All trip types","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3548"
"All trip types","2015","Overseas Trips to Ireland by Non-Residents","Thousand","8643"
"All trip types","2015","Overseas Trips by Irish Residents","Thousand","6965"
"All trip types","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4208"
"All trip types","2016","Overseas Trips to Ireland by Non-Residents","Thousand","9584"
"All trip types","2016","Overseas Trips by Irish Residents","Thousand","7405"
"All trip types","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4577"
"All trip types","2017","Overseas Trips to Ireland by Non-Residents","Thousand","9932"
"All trip types","2017","Overseas Trips by Irish Residents","Thousand","7939"
"All trip types","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4874"
"All trip types","2018","Overseas Trips to Ireland by Non-Residents","Thousand","10616"
"All trip types","2018","Overseas Trips by Irish Residents","Thousand","8276"
"All trip types","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5149"
"All trip types","2019","Overseas Trips to Ireland by Non-Residents","Thousand","10808"
"All trip types","2019","Overseas Trips by Irish Residents","Thousand","8814"
"All trip types","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5101"
"Same-day trips","2009","Overseas Trips to Ireland by Non-Residents","Thousand","437"
"Same-day trips","2009","Overseas Trips by Irish Residents","Thousand","132"
"Same-day trips","2009","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"Same-day trips","2010","Overseas Trips to Ireland by Non-Residents","Thousand","439"
"Same-day trips","2010","Overseas Trips by Irish Residents","Thousand","126"
"Same-day trips","2010","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"Same-day trips","2011","Overseas Trips to Ireland by Non-Residents","Thousand","482"
"Same-day trips","2011","Overseas Trips by Irish Residents","Thousand","148"
"Same-day trips","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"Same-day trips","2012","Overseas Trips to Ireland by Non-Residents","Thousand","478"
"Same-day trips","2012","Overseas Trips by Irish Residents","Thousand","147"
"Same-day trips","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","34"
"Same-day trips","2013","Overseas Trips to Ireland by Non-Residents","Thousand","590"
"Same-day trips","2013","Overseas Trips by Irish Residents","Thousand","138"
"Same-day trips","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"Same-day trips","2014","Overseas Trips to Ireland by Non-Residents","Thousand","776"
"Same-day trips","2014","Overseas Trips by Irish Residents","Thousand","189"
"Same-day trips","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","41"
"Same-day trips","2015","Overseas Trips to Ireland by Non-Residents","Thousand","894"
"Same-day trips","2015","Overseas Trips by Irish Residents","Thousand","184"
"Same-day trips","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"Same-day trips","2016","Overseas Trips to Ireland by Non-Residents","Thousand","1157"
"Same-day trips","2016","Overseas Trips by Irish Residents","Thousand","181"
"Same-day trips","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","48"
"Same-day trips","2017","Overseas Trips to Ireland by Non-Residents","Thousand","1206"
"Same-day trips","2017","Overseas Trips by Irish Residents","Thousand","211"
