"Statistic Label","Type of Accommodation Used","Reason for Journey","Year","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All reasons for journey","2009","Thousand","52823"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All reasons for journey","2010","Thousand","47971"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All reasons for journey","2011","Thousand","50323"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All reasons for journey","2012","Thousand","47942"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All reasons for journey","2013","Thousand","50985"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All reasons for journey","2014","Thousand","54877"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All reasons for journey","2015","Thousand","61228"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All reasons for journey","2016","Thousand","66399"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All reasons for journey","2017","Thousand","68652"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All reasons for journey","2018","Thousand","70886"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All reasons for journey","2019","Thousand","70418"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Holiday/leisure/recreation","2009","Thousand","19892"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Holiday/leisure/recreation","2010","Thousand","18304"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Holiday/leisure/recreation","2011","Thousand","18899"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Holiday/leisure/recreation","2012","Thousand","18682"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Holiday/leisure/recreation","2013","Thousand","20304"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Holiday/leisure/recreation","2014","Thousand","21779"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Holiday/leisure/recreation","2015","Thousand","25970"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Holiday/leisure/recreation","2016","Thousand","28230"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Holiday/leisure/recreation","2017","Thousand","30118"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Holiday/leisure/recreation","2018","Thousand","32839"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Holiday/leisure/recreation","2019","Thousand","31892"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2009","Thousand","19452"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2010","Thousand","15816"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2011","Thousand","14851"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2012","Thousand","13308"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2013","Thousand","14624"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2014","Thousand","16437"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2015","Thousand","16837"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2016","Thousand","18343"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2017","Thousand","18355"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2018","Thousand","18747"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2019","Thousand","19020"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2009","Thousand","5561"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2010","Thousand","5646"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2011","Thousand","5548"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2012","Thousand","5853"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2013","Thousand","6708"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2014","Thousand","7143"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2015","Thousand","7644"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2016","Thousand","8764"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2017","Thousand","9078"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2018","Thousand","8840"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2019","Thousand","8793"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2009","Thousand","7918"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2010","Thousand","8204"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2011","Thousand","11024"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2012","Thousand","10100"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2013","Thousand","9350"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2014","Thousand","9519"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2015","Thousand","10776"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2016","Thousand","11062"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2017","Thousand","11101"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2018","Thousand","10460"
