"Statistic Label","Type of Accommodation Used","Area of Residence","Year","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2009","Thousand","52823"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2010","Thousand","47971"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2011","Thousand","50323"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2012","Thousand","47942"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2013","Thousand","50985"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2014","Thousand","54877"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2015","Thousand","61228"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2016","Thousand","66399"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2017","Thousand","68652"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2018","Thousand","70886"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2019","Thousand","70418"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2009","Thousand","15595"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2010","Thousand","13901"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2011","Thousand","13846"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2012","Thousand","12869"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2013","Thousand","13732"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2014","Thousand","14342"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2015","Thousand","15171"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2016","Thousand","16437"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2017","Thousand","16468"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2018","Thousand","15332"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2019","Thousand","15536"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2009","Thousand","23606"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2010","Thousand","20880"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2011","Thousand","22810"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2012","Thousand","21492"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2013","Thousand","22087"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2014","Thousand","24123"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2015","Thousand","26855"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2016","Thousand","29006"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2017","Thousand","28683"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2018","Thousand","30732"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2019","Thousand","30354"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2009","Thousand","8967"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2010","Thousand","8687"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2011","Thousand","8702"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2012","Thousand","8688"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2013","Thousand","9443"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2014","Thousand","9834"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2015","Thousand","11658"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2016","Thousand","13013"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2017","Thousand","14525"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2018","Thousand","15849"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2019","Thousand","15535"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2009","Thousand","4655"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2010","Thousand","4505"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2011","Thousand","4966"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2012","Thousand","4893"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2013","Thousand","5723"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2014","Thousand","6577"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2015","Thousand","7543"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2016","Thousand","7943"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2017","Thousand","8976"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2018","Thousand","8973"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2019","Thousand","8992"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2009","Thousand","11187"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2010","Thousand","11265"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2011","Thousand","12552"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2012","Thousand","14180"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2013","Thousand","14272"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2014","Thousand","14707"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2015","Thousand","17375"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2016","Thousand","18522"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2017","Thousand","19183"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2018","Thousand","20060"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2019","Thousand","20890"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2009","Thousand","3437"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2010","Thousand","3409"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2011","Thousand","3431"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2012","Thousand","3463"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2013","Thousand","3492"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2014","Thousand","3647"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2015","Thousand","4345"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2016","Thousand","4554"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2017","Thousand","4027"
