"Area of Residence","Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"All Countries","All reasons for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"All Countries","All reasons for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2899"
"All Countries","All reasons for journey","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"All Countries","All reasons for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2916"
"All Countries","All reasons for journey","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"All Countries","All reasons for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3262"
"All Countries","All reasons for journey","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"All Countries","All reasons for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3548"
"All Countries","All reasons for journey","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"All Countries","All reasons for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4208"
"All Countries","All reasons for journey","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"All Countries","All reasons for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4577"
"All Countries","All reasons for journey","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"All Countries","All reasons for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4874"
"All Countries","All reasons for journey","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
