"Statistic Label","Area of Residence","Reason for Journey","Year","UNIT","VALUE"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2009","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2010","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2011","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2012","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2013","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2014","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2015","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2016","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2017","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2018","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2019","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Holiday/leisure/recreation","2009","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Holiday/leisure/recreation","2010","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Holiday/leisure/recreation","2011","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Holiday/leisure/recreation","2012","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Holiday/leisure/recreation","2013","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Holiday/leisure/recreation","2014","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Holiday/leisure/recreation","2015","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Holiday/leisure/recreation","2016","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Holiday/leisure/recreation","2017","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Holiday/leisure/recreation","2018","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Holiday/leisure/recreation","2019","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Visit to friends/relatives","2009","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Visit to friends/relatives","2010","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Visit to friends/relatives","2011","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Visit to friends/relatives","2012","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Visit to friends/relatives","2013","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Visit to friends/relatives","2014","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Visit to friends/relatives","2015","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Visit to friends/relatives","2016","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Visit to friends/relatives","2017","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Visit to friends/relatives","2018","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Visit to friends/relatives","2019","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Business","2009","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Business","2010","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Business","2011","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Business","2012","%","100"
