"Statistic Label","Area of Residence","Quarter","UNIT","VALUE"
"Overseas Visits to Ireland","Great Britain","1985Q1","Thousand","182"
"Overseas Visits to Ireland","Great Britain","1985Q2","Thousand","270"
"Overseas Visits to Ireland","Great Britain","1985Q3","Thousand","447"
"Overseas Visits to Ireland","Great Britain","1985Q4","Thousand","205"
"Overseas Visits to Ireland","Great Britain","1986Q1","Thousand","181"
"Overseas Visits to Ireland","Great Britain","1986Q2","Thousand","257"
"Overseas Visits to Ireland","Great Britain","1986Q3","Thousand","430"
"Overseas Visits to Ireland","Great Britain","1986Q4","Thousand","216"
"Overseas Visits to Ireland","Great Britain","1987Q1","Thousand","195"
"Overseas Visits to Ireland","Great Britain","1987Q2","Thousand","305"
"Overseas Visits to Ireland","Great Britain","1987Q3","Thousand","467"
"Overseas Visits to Ireland","Great Britain","1987Q4","Thousand","242"
"Overseas Visits to Ireland","Great Britain","1988Q1","Thousand","236"
"Overseas Visits to Ireland","Great Britain","1988Q2","Thousand","362"
"Overseas Visits to Ireland","Great Britain","1988Q3","Thousand","564"
"Overseas Visits to Ireland","Great Britain","1988Q4","Thousand","303"
"Overseas Visits to Ireland","Great Britain","1989Q1","Thousand","302"
"Overseas Visits to Ireland","Great Britain","1989Q2","Thousand","388"
"Overseas Visits to Ireland","Great Britain","1989Q3","Thousand","612"
"Overseas Visits to Ireland","Great Britain","1989Q4","Thousand","365"
"Overseas Visits to Ireland","Great Britain","1990Q1","Thousand","293"
"Overseas Visits to Ireland","Great Britain","1990Q2","Thousand","461"
"Overseas Visits to Ireland","Great Britain","1990Q3","Thousand","651"
"Overseas Visits to Ireland","Great Britain","1990Q4","Thousand","382"
"Overseas Visits to Ireland","Great Britain","1991Q1","Thousand","292"
"Overseas Visits to Ireland","Great Britain","1991Q2","Thousand","447"
"Overseas Visits to Ireland","Great Britain","1991Q3","Thousand","625"
"Overseas Visits to Ireland","Great Britain","1991Q4","Thousand","365"
"Overseas Visits to Ireland","Great Britain","1992Q1","Thousand","283"
"Overseas Visits to Ireland","Great Britain","1992Q2","Thousand","466"
"Overseas Visits to Ireland","Great Britain","1992Q3","Thousand","637"
"Overseas Visits to Ireland","Great Britain","1992Q4","Thousand","373"
"Overseas Visits to Ireland","Great Britain","1993Q1","Thousand","320"
"Overseas Visits to Ireland","Great Britain","1993Q2","Thousand","505"
"Overseas Visits to Ireland","Great Britain","1993Q3","Thousand","651"
"Overseas Visits to Ireland","Great Britain","1993Q4","Thousand","407"
"Overseas Visits to Ireland","Great Britain","1994Q1","Thousand","361"
"Overseas Visits to Ireland","Great Britain","1994Q2","Thousand","539"
"Overseas Visits to Ireland","Great Britain","1994Q3","Thousand","734"
"Overseas Visits to Ireland","Great Britain","1994Q4","Thousand","454"
"Overseas Visits to Ireland","Great Britain","1995Q1","Thousand","407"
"Overseas Visits to Ireland","Great Britain","1995Q2","Thousand","601"
"Overseas Visits to Ireland","Great Britain","1995Q3","Thousand","837"
"Overseas Visits to Ireland","Great Britain","1995Q4","Thousand","519"
"Overseas Visits to Ireland","Great Britain","1996Q1","Thousand","466"
"Overseas Visits to Ireland","Great Britain","1996Q2","Thousand","717"
"Overseas Visits to Ireland","Great Britain","1996Q3","Thousand","920"
"Overseas Visits to Ireland","Great Britain","1996Q4","Thousand","594"
"Overseas Visits to Ireland","Great Britain","1997Q1","Thousand","522"
"Overseas Visits to Ireland","Great Britain","1997Q2","Thousand","779"
"Overseas Visits to Ireland","Great Britain","1997Q3","Thousand","1020"
"Overseas Visits to Ireland","Great Britain","1997Q4","Thousand","703"
"Overseas Visits to Ireland","Great Britain","1998Q1","Thousand","574"
"Overseas Visits to Ireland","Great Britain","1998Q2","Thousand","917"
"Overseas Visits to Ireland","Great Britain","1998Q3","Thousand","1132"
"Overseas Visits to Ireland","Great Britain","1998Q4","Thousand","760"
"Overseas Visits to Ireland","Great Britain","1999Q1","Thousand","645"
"Overseas Visits to Ireland","Great Britain","1999Q2","Thousand","1003"
"Overseas Visits to Ireland","Great Britain","1999Q3","Thousand","1137"
"Overseas Visits to Ireland","Great Britain","1999Q4","Thousand","773"
"Overseas Visits to Ireland","Great Britain","2000Q1","Thousand","670"
"Overseas Visits to Ireland","Great Britain","2000Q2","Thousand","975"
"Overseas Visits to Ireland","Great Britain","2000Q3","Thousand","1146"
"Overseas Visits to Ireland","Great Britain","2000Q4","Thousand","767"
"Overseas Visits to Ireland","Great Britain","2001Q1","Thousand","614"
"Overseas Visits to Ireland","Great Britain","2001Q2","Thousand","884"
"Overseas Visits to Ireland","Great Britain","2001Q3","Thousand","1138"
"Overseas Visits to Ireland","Great Britain","2001Q4","Thousand","826"
"Overseas Visits to Ireland","Great Britain","2002Q1","Thousand","731"
"Overseas Visits to Ireland","Great Britain","2002Q2","Thousand","916"
"Overseas Visits to Ireland","Great Britain","2002Q3","Thousand","1131"
"Overseas Visits to Ireland","Great Britain","2002Q4","Thousand","801"
"Overseas Visits to Ireland","Great Britain","2003Q1","Thousand","707"
"Overseas Visits to Ireland","Great Britain","2003Q2","Thousand","977"
"Overseas Visits to Ireland","Great Britain","2003Q3","Thousand","1194"
"Overseas Visits to Ireland","Great Britain","2003Q4","Thousand","841"
"Overseas Visits to Ireland","Great Britain","2004Q1","Thousand","745"
"Overseas Visits to Ireland","Great Britain","2004Q2","Thousand","945"
"Overseas Visits to Ireland","Great Britain","2004Q3","Thousand","1151"
"Overseas Visits to Ireland","Great Britain","2004Q4","Thousand","839"
"Overseas Visits to Ireland","Great Britain","2005Q1","Thousand","767"
"Overseas Visits to Ireland","Great Britain","2005Q2","Thousand","953"
"Overseas Visits to Ireland","Great Britain","2005Q3","Thousand","1196"
"Overseas Visits to Ireland","Great Britain","2005Q4","Thousand","906"
"Overseas Visits to Ireland","Great Britain","2006Q1","Thousand","820"
