"State","Quarter","Statistic Label","UNIT","VALUE"
"State","1985Q1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","107"
"State","1985Q1","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","69"
"State","1985Q2","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","217"
"State","1985Q2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","133"
"State","1985Q3","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","410"
"State","1985Q3","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","207"
"State","1985Q4","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","136"
"State","1985Q4","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","102"
"State","1986Q1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","109"
"State","1986Q1","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","95"
"State","1986Q2","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","199"
"State","1986Q2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","168"
"State","1986Q3","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","356"
"State","1986Q3","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","264"
"State","1986Q4","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","161"
"State","1986Q4","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","123"
"State","1987Q1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","126"
"State","1987Q1","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","81"
"State","1987Q2","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","223"
"State","1987Q2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","180"
"State","1987Q3","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","395"
"State","1987Q3","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","282"
"State","1987Q4","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","183"
"State","1987Q4","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","164"
"State","1988Q1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","145"
