"Statistic Label","Type of Expenditure","Quarter","UNIT","VALUE"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2012Q1","Euro Million","969"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2012Q2","Euro Million","1273"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2012Q3","Euro Million","1928"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2012Q4","Euro Million","1062"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2013Q1","Euro Million","976"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2013Q2","Euro Million","1316"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2013Q3","Euro Million","1907"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2013Q4","Euro Million","1066"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2014Q1","Euro Million","894"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2014Q2","Euro Million","1429"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2014Q3","Euro Million","1942"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2014Q4","Euro Million","1176"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2015Q1","Euro Million","980"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2015Q2","Euro Million","1475"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2015Q3","Euro Million","2096"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2015Q4","Euro Million","1292"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2016Q1","Euro Million","1181"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2016Q2","Euro Million","1553"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2016Q3","Euro Million","2231"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2016Q4","Euro Million","1385"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2017Q1","Euro Million","1173"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2017Q2","Euro Million","1664"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2017Q3","Euro Million","2362"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2017Q4","Euro Million","1394"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2018Q1","Euro Million","1299"
"Estimated Expenditure by Irish Residents on Overseas Trips","Expenditure by Irish residents on overseas trips (including fares)","2018Q2","Euro Million","1831"
