"Travel Mode","Quarter","Statistic Label","UNIT","VALUE"
"All modes of travel","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1167"
"All modes of travel","2012Q1","Overseas Trips by Irish Residents","Thousand","1235"
"All modes of travel","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1817"
"All modes of travel","2012Q2","Overseas Trips by Irish Residents","Thousand","1727"
"All modes of travel","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2095"
"All modes of travel","2012Q3","Overseas Trips by Irish Residents","Thousand","2003"
"All modes of travel","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1438"
"All modes of travel","2012Q4","Overseas Trips by Irish Residents","Thousand","1360"
"All modes of travel","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1252"
"All modes of travel","2013Q1","Overseas Trips by Irish Residents","Thousand","1209"
"All modes of travel","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1893"
"All modes of travel","2013Q2","Overseas Trips by Irish Residents","Thousand","1752"
"All modes of travel","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2261"
"All modes of travel","2013Q3","Overseas Trips by Irish Residents","Thousand","2033"
"All modes of travel","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1580"
"All modes of travel","2013Q4","Overseas Trips by Irish Residents","Thousand","1329"
"All modes of travel","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1343"
"All modes of travel","2014Q1","Overseas Trips by Irish Residents","Thousand","1154"
"All modes of travel","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2127"
"All modes of travel","2014Q2","Overseas Trips by Irish Residents","Thousand","1791"
"All modes of travel","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2440"
"All modes of travel","2014Q3","Overseas Trips by Irish Residents","Thousand","2112"
"All modes of travel","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1695"
"All modes of travel","2014Q4","Overseas Trips by Irish Residents","Thousand","1458"
