"Type of Trip","Quarter","Statistic Label","UNIT","VALUE"
"All trip types","2004Q1","Overseas Trips to Ireland by Non-Residents","Thousand",""
"All trip types","2004Q1","Overseas Trips by Irish Residents","Thousand",""
"All trip types","2004Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"All trip types","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1167"
"All trip types","2012Q1","Overseas Trips by Irish Residents","Thousand","1235"
"All trip types","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","483"
"All trip types","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1817"
"All trip types","2012Q2","Overseas Trips by Irish Residents","Thousand","1727"
"All trip types","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","816"
"All trip types","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2095"
"All trip types","2012Q3","Overseas Trips by Irish Residents","Thousand","2003"
"All trip types","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","994"
"All trip types","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1438"
"All trip types","2012Q4","Overseas Trips by Irish Residents","Thousand","1360"
"All trip types","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","622"
"All trip types","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1252"
"All trip types","2013Q1","Overseas Trips by Irish Residents","Thousand","1209"
"All trip types","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","541"
"All trip types","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1893"
"All trip types","2013Q2","Overseas Trips by Irish Residents","Thousand","1752"
"All trip types","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","870"
"All trip types","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2261"
"All trip types","2013Q3","Overseas Trips by Irish Residents","Thousand","2033"
"All trip types","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1186"
"All trip types","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1580"
"All trip types","2013Q4","Overseas Trips by Irish Residents","Thousand","1329"
"All trip types","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","665"
"All trip types","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1343"
"All trip types","2014Q1","Overseas Trips by Irish Residents","Thousand","1154"
"All trip types","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","534"
"All trip types","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2127"
"All trip types","2014Q2","Overseas Trips by Irish Residents","Thousand","1791"
"All trip types","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1001"
"All trip types","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2440"
"All trip types","2014Q3","Overseas Trips by Irish Residents","Thousand","2112"
"All trip types","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1303"
"All trip types","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1695"
"All trip types","2014Q4","Overseas Trips by Irish Residents","Thousand","1458"
"All trip types","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","711"
"All trip types","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1531"
"All trip types","2015Q1","Overseas Trips by Irish Residents","Thousand","1306"
"All trip types","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","590"
"All trip types","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2345"
"All trip types","2015Q2","Overseas Trips by Irish Residents","Thousand","1928"
"All trip types","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1194"
"All trip types","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2771"
"All trip types","2015Q3","Overseas Trips by Irish Residents","Thousand","2186"
"All trip types","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1551"
"All trip types","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1996"
"All trip types","2015Q4","Overseas Trips by Irish Residents","Thousand","1545"
"All trip types","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","873"
"All trip types","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1785"
