"Statistic Label","Type of Accommodation Used","Area of Residence","Quarter","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2012Q1","Thousand","7892"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2012Q2","Thousand","12734"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2012Q3","Thousand","16982"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2012Q4","Thousand","10333"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2013Q1","Thousand","8441"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2013Q2","Thousand","13341"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2013Q3","Thousand","18466"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2013Q4","Thousand","10738"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2014Q1","Thousand","8891"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2014Q2","Thousand","15134"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2014Q3","Thousand","19701"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2014Q4","Thousand","11151"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2015Q1","Thousand","10008"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2015Q2","Thousand","16443"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2015Q3","Thousand","21968"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2015Q4","Thousand","12809"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2016Q1","Thousand","11630"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2016Q2","Thousand","17319"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2016Q3","Thousand","23678"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2016Q4","Thousand","13772"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2017Q1","Thousand","11148"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2017Q2","Thousand","18316"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2017Q3","Thousand","23567"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2017Q4","Thousand","15621"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2018Q1","Thousand","12484"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2018Q2","Thousand","18684"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2018Q3","Thousand","24584"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2018Q4","Thousand","15134"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2019Q1","Thousand","12081"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2019Q2","Thousand","19770"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2019Q3","Thousand","23481"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","All areas of residence","2019Q4","Thousand","15079"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2012Q1","Thousand","2393"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2012Q2","Thousand","3236"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2012Q3","Thousand","4425"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2012Q4","Thousand","2815"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2013Q1","Thousand","2542"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2013Q2","Thousand","3123"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2013Q3","Thousand","5012"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2013Q4","Thousand","3054"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2014Q1","Thousand","2743"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2014Q2","Thousand","3533"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2014Q3","Thousand","5052"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2014Q4","Thousand","3014"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2015Q1","Thousand","2951"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2015Q2","Thousand","3688"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2015Q3","Thousand","5318"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2015Q4","Thousand","3214"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2016Q1","Thousand","3196"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2016Q2","Thousand","4061"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2016Q3","Thousand","5685"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2016Q4","Thousand","3495"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2017Q1","Thousand","3157"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2017Q2","Thousand","4115"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2017Q3","Thousand","5587"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2017Q4","Thousand","3609"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2018Q1","Thousand","3079"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2018Q2","Thousand","3877"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2018Q3","Thousand","5106"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2018Q4","Thousand","3270"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2019Q1","Thousand","2968"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2019Q2","Thousand","4009"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2019Q3","Thousand","5267"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Great Britain","2019Q4","Thousand","3287"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2012Q1","Thousand","3276"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2012Q2","Thousand","5548"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2012Q3","Thousand","7934"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2012Q4","Thousand","4733"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2013Q1","Thousand","3566"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2013Q2","Thousand","6164"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2013Q3","Thousand","7924"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Europe","2013Q4","Thousand","4433"
