"Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"All reasons for journey","2012Q1","Trips with at Least One Overnight in Ireland","Thousand","1066"
"All reasons for journey","2012Q1","Same-Day Trips, No Overnight in Ireland","Thousand","101"
"All reasons for journey","2012Q2","Trips with at Least One Overnight in Ireland","Thousand","1682"
"All reasons for journey","2012Q2","Same-Day Trips, No Overnight in Ireland","Thousand","135"
"All reasons for journey","2012Q3","Trips with at Least One Overnight in Ireland","Thousand","1973"
"All reasons for journey","2012Q3","Same-Day Trips, No Overnight in Ireland","Thousand","122"
"All reasons for journey","2012Q4","Trips with at Least One Overnight in Ireland","Thousand","1317"
"All reasons for journey","2012Q4","Same-Day Trips, No Overnight in Ireland","Thousand","121"
"All reasons for journey","2013Q1","Trips with at Least One Overnight in Ireland","Thousand","1143"
"All reasons for journey","2013Q1","Same-Day Trips, No Overnight in Ireland","Thousand","109"
"All reasons for journey","2013Q2","Trips with at Least One Overnight in Ireland","Thousand","1735"
"All reasons for journey","2013Q2","Same-Day Trips, No Overnight in Ireland","Thousand","158"
"All reasons for journey","2013Q3","Trips with at Least One Overnight in Ireland","Thousand","2082"
"All reasons for journey","2013Q3","Same-Day Trips, No Overnight in Ireland","Thousand","179"
"All reasons for journey","2013Q4","Trips with at Least One Overnight in Ireland","Thousand","1436"
"All reasons for journey","2013Q4","Same-Day Trips, No Overnight in Ireland","Thousand","144"
"All reasons for journey","2014Q1","Trips with at Least One Overnight in Ireland","Thousand","1214"
"All reasons for journey","2014Q1","Same-Day Trips, No Overnight in Ireland","Thousand","128"
"All reasons for journey","2014Q2","Trips with at Least One Overnight in Ireland","Thousand","1905"
"All reasons for journey","2014Q2","Same-Day Trips, No Overnight in Ireland","Thousand","222"
"All reasons for journey","2014Q3","Trips with at Least One Overnight in Ireland","Thousand","2212"
"All reasons for journey","2014Q3","Same-Day Trips, No Overnight in Ireland","Thousand","228"
"All reasons for journey","2014Q4","Trips with at Least One Overnight in Ireland","Thousand","1496"
"All reasons for journey","2014Q4","Same-Day Trips, No Overnight in Ireland","Thousand","199"
"All reasons for journey","2015Q1","Trips with at Least One Overnight in Ireland","Thousand","1378"
"All reasons for journey","2015Q1","Same-Day Trips, No Overnight in Ireland","Thousand","154"
"All reasons for journey","2015Q2","Trips with at Least One Overnight in Ireland","Thousand","2120"
"All reasons for journey","2015Q2","Same-Day Trips, No Overnight in Ireland","Thousand","225"
"All reasons for journey","2015Q3","Trips with at Least One Overnight in Ireland","Thousand","2493"
"All reasons for journey","2015Q3","Same-Day Trips, No Overnight in Ireland","Thousand","278"
"All reasons for journey","2015Q4","Trips with at Least One Overnight in Ireland","Thousand","1760"
