"Area of Residence","Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"All Countries","All reasons for journey","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"All Countries","All reasons for journey","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","483"
"All Countries","All reasons for journey","2012Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"All Countries","All reasons for journey","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","816"
"All Countries","All reasons for journey","2012Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"All Countries","All reasons for journey","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","994"
"All Countries","All reasons for journey","2012Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"All Countries","All reasons for journey","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","622"
"All Countries","All reasons for journey","2012Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"All Countries","All reasons for journey","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","541"
"All Countries","All reasons for journey","2013Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"All Countries","All reasons for journey","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","870"
"All Countries","All reasons for journey","2013Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"All Countries","All reasons for journey","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1186"
"All Countries","All reasons for journey","2013Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
