"Statistic Label","Area of Residence","Reason for Journey","Quarter","UNIT","VALUE"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2012Q1","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2012Q2","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2012Q3","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2012Q4","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2013Q1","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2013Q2","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2013Q3","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2013Q4","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2014Q1","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2014Q2","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2014Q3","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2014Q4","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2015Q1","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2015Q2","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2015Q3","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2015Q4","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2016Q1","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2016Q2","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2016Q3","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2016Q4","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2017Q1","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2017Q2","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2017Q3","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2017Q4","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2018Q1","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2018Q2","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2018Q3","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2018Q4","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2019Q1","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2019Q2","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2019Q3","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","All reasons for journey","2019Q4","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Holiday/leisure/recreation","2012Q1","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Holiday/leisure/recreation","2012Q2","%","100"
"Overseas Same-Day Trips to Ireland by Non-Residents","All Countries","Holiday/leisure/recreation","2012Q3","%","100"
