X,Y,OBJECTID,Name,Address,Streetview_Link,WGS84Longitude,WGS84Latitude
567361.1309,780121.282199998,1,Hell’s Kitchen Railway Museum,Castlerea,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.7696623825255&amp;Lng=-8.49508997103652",-8.4950899,53.76966238
570332.411500001,792581.212399999,2,Dr Douglas Hyde Centre,Frenchpark,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.8818040027059&amp;Lng=-8.4512225447825",-8.4512225,53.881804
585222.785400001,766276.375599999,3,Roscommon Race Course,Roscommon,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.6460604155487&amp;Lng=-8.22349485510317",8.2234948,53.64606041
593672.8634,758518.9203,4,Claypipe Museum,Knochcroghery,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.5765182916001&amp;Lng=-8.09553627796106",8.0955362,53.5765182
596574.299,755136.630399998,5,Lecarrow Harbour,Lecarrow,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.5461499761807&amp;Lng=-8.05168916110378",8.05168916,53.54614997
600851.069,746337.209099999,6,Hodson Bay Marina,Hodson Bay,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.4670828412515&amp;Lng=-7.98718240395731",-7.9871824,53.46708284
581149.8933,807158.399900001,7,Lough Key Viewing Area,Near Boyle,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=54.0132988894466&amp;Lng=-8.28759914353475",-8.2875991,54.0132988
580514.3353,802718.343400001,8,Boyle Abbey,Boyle,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.9733777149445&amp;Lng=-8.29701173983424",-8.29701173,53.9733777
580240.3098,802676.609299997,9,King House,Boyle,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.9729923029896&amp;Lng=-8.30118582627011",-8.3011858,53.9729923
583877.1842,802342.8701,10,Lough Key Forest Park -Entrance,Boyle,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.9701195059228&amp;Lng=-8.24573398092769",-8.24573398,53.9701195
590936.8658,811345.402500002,11,Turlough O’Carolan Heritage Park,Keadue,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=54.0511871964277&amp;Lng=-8.13840334411817",-8.13840334,54.05118719
587563.9452,805101.017199999,12,Tara Marina,Cootehall,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.9950057539616&amp;Lng=-8.18965559131076",-8.18965559,53.9950057
589427.4791,803734.473699998,13,John McGahern Plaque,Cootehall,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.982767584255&amp;Lng=-8.1611885453632",-8.16118854,53.9827675
