id,rank,name,employees,previousrank,revenues,revenuechange,profits,profitschange,assets,marketvalue
2,1,Walmart,2300000,1,485873,0.008,13643.0,-0.072,198825,218619
3,2,Berkshire Hathaway,367700,4,223604,0.061,24074.0,0.000,620854,411035
4,3,Apple,116000,3,215639,-0.077,45687.0,-0.144,321686,753718
5,4,Exxon Mobil,72700,2,205004,-0.167,7840.0,-0.515,330314,340056
6,5,McKesson,68000,5,192487,0.062,2258.0,0.530,56563,31439
7,6,UnitedHealth Group,230000,6,184840,0.177,7017.0,0.207,122810,157793
8,7,CVS Health,204000,7,177526,0.158,5317.0,0.015,94462,81310
9,8,General Motors,225000,8,166380,0.092,9427.0,-0.027,221690,52968
10,9,AT&T,268540,10,163786,0.116,12976.0,-0.028,403821,255679
11,10,Ford Motor,201000,9,151800,0.015,4596.0,-0.377,237951,46349
12,11,AmerisourceBergen,18500,12,146850,0.080,1427.9,,33656,19229
13,12,Amazon.com,341400,18,135987,0.271,2371.0,2.978,83402,423031
14,13,General Electric,295000,11,126661,-0.098,8831.0,,365183,259520
15,14,Verizon,160900,13,125980,-0.043,13127.0,-0.266,244180,198900
16,15,Cardinal Health,37300,21,121546,0.185,1427.0,0.174,34122,25725
17,16,Costco,172000,15,118719,0.022,2350.0,-0.011,33163,73606
18,17,Walgreens Boots Alliance,300000,19,117351,0.134,4173.0,-0.011,72688,89645
19,18,Kroger,443000,17,115337,0.050,1975.0,-0.031,36505,26961
20,19,Chevron,55200,14,107567,-0.180,-497.0,-1.108,260078,203263
21,20,Fannie Mae,7000,16,107162,-0.029,12313.0,0.124,3287968,3011
22,21,J.P. Morgan Chase,243355,23,105486,0.044,24733.0,0.012,2490972,313761
23,22,Express Scripts Holding,25600,22,100288,-0.014,3404.4,0.375,51745,39567
24,23,Home Depot,406000,28,94595,0.069,7957.0,0.135,42966,176368
25,24,Boeing,150540,24,94571,-0.016,4895.0,-0.054,89997,107546
26,25,Wells Fargo,269100,27,94176,0.046,21938.0,-0.042,1930115,278516
27,26,Bank of America Corp.,208024,26,93662,0.007,17906.0,0.127,2187702,236182
28,27,Alphabet,72053,36,90272,0.204,19478.0,0.191,167497,579426
29,28,Microsoft,114000,25,85320,-0.088,16798.0,0.378,193694,508935
30,29,Anthem,53000,33,84863,0.072,2469.8,-0.035,65083,43813
31,30,Citigroup,219000,29,82386,-0.067,14912.0,-0.135,1792077,165394
32,31,Comcast,159000,37,80403,0.079,8695.0,0.065,180500,178258
33,32,IBM,414400,31,79919,-0.031,11872.0,-0.100,117470,164251
34,33,State Farm Insurance Cos.,68234,35,76132,0.006,350.3,-0.944,256030,
35,34,Phillips 66,14800,30,72396,-0.169,1555.0,-0.632,51653,40954
36,35,Johnson & Johnson,126400,39,71890,0.026,16540.0,0.073,141208,337642
37,36,Procter & Gamble,105000,34,71726,-0.089,10508.0,0.493,127136,229700
38,37,Valero Energy,9996,32,70166,-0.142,2289.0,-0.426,46173,29746
39,38,Target,323000,38,69495,-0.058,2737.0,-0.186,37431,30502
40,39,Freddie Mac,5982,43,65665,0.034,7815.0,0.226,2023376,1612
41,40,Lowe,240000,47,65017,0.101,3093.0,0.215,34408,70481
42,41,Dell Technologies,138000,,64806,0.181,-1672.0,,118206,
43,42,MetLife,58000,40,63476,-0.093,800.0,-0.849,898764,57429
44,43,Aetna,49500,46,63155,0.047,2271.0,-0.050,69146,44859
45,44,PepsiCo,264000,44,62799,-0.004,6329.0,0.161,74129,159763
46,45,Archer Daniels Midland,31800,41,62346,-0.079,1279.0,-0.308,39769,26274
47,46,UPS,335520,48,60906,0.044,3431.0,-0.292,40377,93276
48,47,Intel,106000,51,59387,0.073,10316.0,-0.097,113327,170539
49,48,Prudential Financial,49739,50,58779,0.029,4368.0,-0.226,783962,45912
50,49,Albertsons Cos.,274000,,58734,1.159,-502.2,,23770,
51,50,United Technologies,201600,45,57244,-0.062,5055.0,-0.336,89706,89957
52,51,Marathon Petroleum,44460,42,55858,-0.135,1174.0,-0.588,44413,26679
53,52,Disney,195000,53,55632,0.060,9391.0,0.120,92033,179298
54,53,Humana,51600,52,54379,0.002,614.0,-0.519,25396,29743
55,54,Pfizer,96500,55,52824,0.081,7215.0,0.037,171615,203725
56,55,AIG,56400,49,52367,-0.102,-849.0,-1.387,498264,61154
57,56,Lockheed Martin,97000,60,50658,0.098,5302.0,0.471,47806,77557
58,57,Sysco,51900,57,50367,0.035,949.6,0.383,16722,28048
59,58,FedEx,335767,58,50365,0.061,1820.0,0.733,46064,52178
60,59,Hewlett Packard Enterprise,195000,,50123,,3161.0,,79679,39288
61,60,Cisco Systems,73700,54,49247,0.002,10739.0,0.196,121652,169266
62,61,HP,49000,20,48238,-0.533,2496.0,-0.452,29010,30231
63,62,Dow Chemical,56000,56,48158,-0.013,4318.0,-0.438,79511,77460
64,63,HCA Holdings,210500,63,44747,0.027,2890.0,0.357,33758,32966
65,64,Coca-Cola,100300,62,41863,-0.055,6527.0,-0.112,87270,182153
66,65,New York Life Insurance,11320,61,40787,-0.111,1088.1,3.241,287196,
67,66,Centene,30500,124,40721,0.786,562.0,0.583,20197,12271
68,67,American Airlines Group,122300,67,40180,-0.020,2676.0,-0.648,51274,21326
69,68,Nationwide,34320,69,40074,-0.004,334.3,-0.424,197790,
70,69,Merck,68000,72,39807,0.008,3920.0,-0.118,95377,174454
71,70,Cigna,41000,79,39668,0.047,1867.0,-0.108,59360,37604
72,71,Delta Air Lines,83756,68,39639,-0.026,4373.0,-0.034,51261,33586
73,72,Best Buy,125000,71,39403,-0.009,1228.0,0.369,13856,15193
74,73,Honeywell International,131000,75,39302,0.019,4809.0,0.009,54146,94991
75,74,Caterpillar,95400,59,38537,-0.180,-67.0,-1.032,74704,54402
76,75,Liberty Mutual Insurance Group,50000,73,38308,-0.029,1006.0,0.957,125592,
77,76,Morgan Stanley,55311,78,37949,0.001,5979.0,-0.024,814949,79947
78,77,Massachusetts Mutual Life Insurance,11737,76,37788,-0.012,1273.5,-0.106,271040,
79,78,Goldman Sachs Group,34400,74,37712,-0.038,7398.0,0.216,860165,91380
80,79,Energy Transfer Equity,30992,65,37504,-0.110,995.0,-0.163,79011,21292
81,80,TIAA,12997,82,37105,0.055,1492.3,0.229,523194,
82,81,Oracle,136000,77,37047,-0.031,8901.0,-0.104,112180,183556
83,82,Tyson Foods,114000,66,36881,-0.109,1768.0,0.449,22373,22028
84,83,United Continental Holdings,88000,80,36556,-0.035,2263.0,-0.692,40140,22225
85,84,Allstate,43275,81,36534,0.025,1877.0,-0.135,108610,29754
86,85,Publix Super Markets,191000,87,34274,0.051,2025.7,0.031,17464,
87,86,American Express,56400,85,33823,-0.018,5408.0,0.047,158893,71193
88,87,TJX,235000,89,33184,0.072,2298.2,0.009,12884,51053
89,88,Nike,70700,91,32376,0.058,3760.0,0.149,21396,92204
90,89,Exelon,34396,95,31360,0.065,1134.0,-0.500,114904,33309
91,90,General Dynamics,98800,88,31353,-0.004,2955.0,-0.003,32872,56791
92,91,Rite Aid,70580,107,30737,0.159,165.5,-0.922,11277,4473
93,92,Gilead Sciences,9000,86,30390,-0.069,13501.0,-0.254,56977,88788
94,93,CHS,12157,84,30347,-0.122,424.2,-0.457,17318,
95,94,3M,91584,93,30109,-0.005,5050.0,0.045,32906,114338
96,95,Time Warner,25000,99,29318,0.043,3926.0,0.024,65966,75660
97,96,Charter Communications,91500,292,29003,1.973,3522.0,,149067,100595
98,97,Northwestern Mutual,5646,100,28799,0.024,818.0,0.004,250441,
99,98,Facebook,17048,157,27638,0.542,10217.0,1.770,64961,410522
100,99,Travelers Cos.,30900,105,27625,0.031,3014.0,-0.124,100245,33689
101,100,Capital One Financial,47300,112,27519,0.096,3751.0,-0.074,357033,41831
102,101,Twenty-First Century Fox,21500,96,27326,-0.057,2755.0,-0.668,48365,59949
103,102,USAA,29943,114,27131,0.114,1779.1,-0.217,147290,
104,103,World Fuel Services,5000,92,27016,-0.111,126.5,-0.275,5413,2535
105,104,Philip Morris International,79500,106,26685,-0.004,6967.0,0.014,36851,175349
106,105,Deere,56767,97,26644,-0.077,1523.9,-0.214,57981,34648
107,106,Kraft Heinz,41000,153,26487,0.444,3632.0,4.729,120480,110528
108,107,Tech Data,9500,108,26235,-0.005,195.1,-0.266,7932,3569
109,108,Avnet,17700,102,26219,-0.061,506.5,-0.114,11240,5898
110,109,Mondelez International,90000,102,25923,-0.125,1659.0,-0.772,61538,65676
111,110,Macy,148300,103,25778,-0.048,619.0,-0.423,19851,9046
112,111,AbbVie,30000,123,25638,0.122,5953.0,0.157,66099,103838
113,112,McDonald,375000,109,24622,-0.031,4686.5,0.035,31024,106150
114,113,DuPont,46000,101,24594,-0.120,2513.0,0.287,39964,69451
115,114,Northrop Grumman,67000,118,24508,0.042,2200.0,0.106,25614,41577
116,115,ConocoPhillips,13300,90,24360,-0.213,-3615.0,,89772,61692
117,116,Raytheon,63000,120,24069,0.035,2211.0,0.066,30052,44664
118,117,Tesoro,6308,98,24005,-0.147,734.0,-0.523,20398,9515
119,118,Arrow Electronics,18700,119,23825,0.023,522.8,0.050,14206,6546
120,119,Qualcomm,30500,110,23554,-0.068,5705.0,0.082,52359,84694
121,120,Progressive,31721,137,23441,0.124,1031.0,-0.187,33428,22760
122,121,Duke Energy,28798,115,23369,-0.010,2152.0,-0.236,132761,57397
123,122,Enterprise Products Partners,6800,104,23022,-0.148,2513.1,-0.003,52194,58522
124,123,Amgen,19200,130,22991,0.061,7722.0,0.113,77626,120830
125,124,US Foods Holding,25000,122,22919,-0.009,209.8,0.252,8945,6207
126,125,U.S. Bancorp,71191,131,22744,0.058,5888.0,0.002,445964,87201
127,126,Aflac,10212,135,22559,0.081,2659.0,0.050,129819,29053
128,127,Sears Holdings,140000,111,22138,-0.120,-2221.0,,9362,1231
129,128,Dollar General,121000,139,21987,0.079,1251.1,0.074,11672,19182
130,129,AutoNation,26000,136,21609,0.036,430.5,-0.027,10060,4268
131,130,Community Health Systems,108000,125,21374,-0.058,-1721.0,,21944,1010
132,131,Starbucks,254000,146,21316,0.112,2817.7,0.022,14330,85092
133,132,Eli Lilly,41975,141,21222,0.063,2737.6,0.137,38806,92803
134,133,International Paper,55000,127,21079,-0.058,904.0,-0.036,33345,20884
135,134,Tenet Healthcare,116475,140,21070,0.048,-192.0,,24701,1777
136,135,Abbott Laboratories,75000,138,20853,0.009,1400.0,-0.683,52666,76740
137,136,Dollar Tree,116050,180,20719,0.337,896.2,2.174,15702,18540
138,137,Whirlpool,93000,134,20718,-0.008,888.0,0.134,19153,12762
139,138,Southwest Airlines,53536,142,20425,0.031,2244.0,0.029,23286,33076
140,139,Emerson Electric,103500,128,20268,-0.091,1635.0,-0.397,21743,38614
141,140,Staples,61503,132,20217,-0.040,-1497.0,-4.948,8271,5723
142,141,Plains GP Holdings,5100,121,20182,-0.128,94.0,-0.203,26103,9127
143,142,Penske Automotive Group,24000,143,20143,0.040,342.9,0.052,8861,4001
144,143,Union Pacific,42919,129,19941,-0.086,4233.0,-0.113,55718,85911
145,144,Danaher,62000,133,19912,-0.048,2553.7,-0.239,45295,59359
